n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 AVLTree 	 9.765625E-5 	 9.765577316189693E-5 	 9.765625E-5 	 9.765577316175861E-5
10 	 vEBTree 	 5.859375E-4 	 2.3920097454491605E-4 	 1.953125E-4 	 1.3810544449459024E-4
10 	 SplayTree 	 0.0 	 0.0 	 1.953125E-4 	 1.3810544449484262E-4
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 3.90625E-4 	 1.381040957757663E-4 	 1.46484375E-4 	 8.457217390645415E-5
11 	 AVLTree 	 1.46484375E-4 	 8.457217390629526E-5 	 1.46484375E-4 	 8.457217390595968E-5
11 	 vEBTree 	 2.44140625E-4 	 1.0918167390534713E-4 	 9.765625E-5 	 6.905305942471734E-5
11 	 SplayTree 	 2.44140625E-4 	 1.0918167390534713E-4 	 3.41796875E-4 	 1.2918486792957032E-4
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 9.765625E-5 	 4.882788658075333E-5 	 1.220703125E-4 	 5.459117015581788E-5
12 	 AVLTree 	 2.2216796875E-4 	 7.32820441163691E-5 	 4.8828125E-5 	 3.4526614006260686E-5
12 	 vEBTree 	 2.197265625E-4 	 7.324138283267085E-5 	 9.765625E-5 	 4.8827886580754475E-5
12 	 SplayTree 	 2.4658203125E-4 	 7.724167591326999E-5 	 9.765625E-5 	 4.8827886580701634E-5
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 1.46484375E-4 	 4.2286086953312804E-5 	 1.8310546875E-4 	 4.727719589628353E-5
13 	 AVLTree 	 2.5634765625E-4 	 5.593892770985903E-5 	 1.220703125E-5 	 1.2207023799454522E-5
13 	 vEBTree 	 1.5869140625E-4 	 4.401272786716821E-5 	 1.0986328125E-4 	 3.662089258357593E-5
13 	 SplayTree 	 3.173828125E-4 	 6.224290278189377E-5 	 1.708984375E-4 	 4.5674138360336667E-5
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 2.79541015625E-4 	 3.122872564443527E-5 	 1.568603515625E-4 	 1.2758533153766006E-5
14 	 AVLTree 	 2.74658203125E-4 	 2.8365765656835287E-5 	 3.35693359375E-5 	 4.526412358120466E-6
14 	 vEBTree 	 2.72216796875E-4 	 2.8924988725599264E-5 	 9.3994140625E-5 	 7.573907723361098E-6
14 	 SplayTree 	 2.685546875E-4 	 2.7701367870742065E-5 	 2.130126953125E-4 	 1.2787202577593267E-5
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 2.8533935546875E-4 	 2.055066764414296E-5 	 1.7333984375E-4 	 1.7445545214698255E-5
15 	 AVLTree 	 3.2012939453125E-4 	 2.2732347467009448E-5 	 2.8076171875E-5 	 6.488107567833108E-6
15 	 vEBTree 	 2.911376953125E-4 	 2.2161986797881418E-5 	 1.2939453125E-4 	 1.5512854145039667E-5
