n 	 Arbol 	 tiempo promedio construccion 	 de 	 tiempo promedio busqueda 	 de
10 	 ABBTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 AVLTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 vEBTree 	 9.765625E-5 	 9.765577316187655E-5 	 9.765625E-5 	 9.76557731618002E-5
10 	 SplayTree 	 0.0 	 0.0 	 0.0 	 0.0
10 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
11 	 ABBTree 	 0.0 	 0.0 	 0.0 	 0.0
11 	 AVLTree 	 0.0 	 0.0 	 0.0 	 0.0
11 	 vEBTree 	 9.765625E-5 	 6.90530594244522E-5 	 0.0 	 0.0
11 	 SplayTree 	 0.0 	 0.0 	 9.765625E-5 	 6.905305942467432E-5
11 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
12 	 ABBTree 	 4.8828125E-5 	 3.4526614006246205E-5 	 2.44140625E-5 	 2.4414032697654456E-5
12 	 AVLTree 	 0.0 	 0.0 	 4.8828125E-5 	 3.452661400628328E-5
12 	 vEBTree 	 7.32421875E-5 	 4.228624181152729E-5 	 2.44140625E-5 	 2.441403269764007E-5
12 	 SplayTree 	 0.0 	 0.0 	 4.8828125E-5 	 3.452661400625617E-5
12 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
13 	 ABBTree 	 1.220703125E-5 	 1.2207023799417935E-5 	 0.0 	 0.0
13 	 AVLTree 	 2.44140625E-5 	 1.7263328076709466E-5 	 0.0 	 0.0
13 	 vEBTree 	 3.662109375E-5 	 2.1143159620236686E-5 	 3.662109375E-5 	 2.1143159620238607E-5
13 	 SplayTree 	 1.220703125E-5 	 1.220702379949656E-5 	 2.44140625E-5 	 1.7263328076702948E-5
13 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
14 	 ABBTree 	 2.197265625E-5 	 6.851157791531197E-6 	 1.5869140625E-5 	 6.573675817837474E-6
14 	 AVLTree 	 1.40380859375E-5 	 6.4881168369873095E-6 	 1.5869140625E-5 	 6.573675817813734E-6
14 	 vEBTree 	 4.45556640625E-5 	 1.130381553116383E-5 	 2.685546875E-5 	 1.0815436892683283E-5
14 	 SplayTree 	 3.173828125E-5 	 1.0952339147151792E-5 	 2.197265625E-5 	 8.970282925938336E-6
14 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
15 	 ABBTree 	 1.46484375E-5 	 2.1143043476659026E-6 	 2.13623046875E-5 	 6.328248686806071E-6
15 	 AVLTree 	 2.3193359375E-5 	 4.882795689764422E-6 	 1.46484375E-5 	 4.608046138950488E-6
15 	 vEBTree 	 4.7607421875E-5 	 3.8115535536392435E-6 	 1.312255859375E-5 	 3.519451333889809E-6
15 	 SplayTree 	 1.434326171875E-5 	 2.0921647443181135E-6 	 1.617431640625E-5 	 3.649360626475602E-6
15 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
16 	 ABBTree 	 1.6937255859375E-5 	 3.3115373386411054E-6 	 1.9378662109375E-5 	 4.4407992764523014E-6
16 	 AVLTree 	 2.25830078125E-5 	 4.722827314695246E-6 	 1.0833740234375E-5 	 2.417443121789721E-6
16 	 vEBTree 	 5.1116943359375E-5 	 5.9195112273339885E-6 	 1.3427734375E-5 	 2.8870936131489836E-6
16 	 SplayTree 	 2.105712890625E-5 	 4.469541538518846E-6 	 1.9378662109375E-5 	 3.9407799517173855E-6
16 	 Arbol Optimo 	 NaN 	 NaN 	 NaN 	 NaN
17 	 ABBTree 	 2.32696533203125E-5 	 3.5003815950003467E-6 	 1.88446044921875E-5 	 3.2965653642940242E-6
17 	 AVLTree 	 2.46429443359375E-5 	 3.6613082327410033E-6 	 1.3275146484375E-5 	 2.5002978494814185E-6
17 	 vEBTree 	 4.81414794921875E-5 	 4.746789305603384E-6 	 1.6326904296875E-5 	 2.7444582312800697E-6
